City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Codrington,AU,-38.2667,141.9667,55.74,59,66,11.68,broken clouds
1,Itaquitinga,BR,-7.6678,-35.1017,81.61,88,25,2.62,scattered clouds
2,Port Alfred,ZA,-33.5906,26.891,56.48,79,0,10.69,clear sky
3,Kamenka,RU,51.3223,42.7678,32.05,77,12,13.8,few clouds
4,Ushuaia,AR,-54.8,-68.3,35.26,69,75,20.71,light snow
5,Hobyo,SO,5.3505,48.5268,80.17,72,100,11.07,overcast clouds
6,Busselton,AU,-33.65,115.3333,58.55,60,97,8.81,overcast clouds
7,Narsaq,GL,60.9167,-46.05,30.42,44,4,7.09,clear sky
8,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,23.02,scattered clouds
9,Hithadhoo,MV,-0.6,73.0833,82.94,71,18,13.11,few clouds
10,Mahebourg,MU,-20.4081,57.7,75.25,83,40,11.5,scattered clouds
11,Ponta Do Sol,PT,32.6667,-17.1,68.72,63,62,7.65,broken clouds
12,Longyearbyen,SJ,78.2186,15.6401,22.84,63,75,11.5,light snow
13,Carnarvon,AU,-24.8667,113.6333,75.27,53,40,14.97,scattered clouds
14,Polis,CY,35.0367,32.4264,60.62,92,3,1.92,clear sky
15,Muros,ES,42.7762,-9.0603,57.99,94,78,2.64,broken clouds
16,Petrokamenskoye,RU,57.716,60.6484,37.87,75,100,9.22,overcast clouds
17,Souillac,MU,-20.5167,57.5167,75.36,83,40,11.5,scattered clouds
18,Bilma,NE,18.6853,12.9164,79.7,14,0,7.0,clear sky
19,Lubao,PH,14.9167,120.55,84.27,70,97,9.89,overcast clouds
20,Senno,RU,59.5336,33.9167,27.27,78,100,7.81,snow
21,Mahibadhoo,MV,3.7833,72.9667,83.17,69,46,11.65,scattered clouds
22,Cayenne,GF,4.9333,-52.3333,78.1,92,75,1.14,broken clouds
23,Huarmey,PE,-10.0681,-78.1522,63.52,84,63,10.16,broken clouds
24,Codajas,BR,-3.8367,-62.0569,76.35,87,100,2.13,overcast clouds
25,Sakakah,SA,29.9697,40.2064,63.97,34,0,6.73,clear sky
26,Lagoa,PT,39.05,-27.9833,66.38,73,58,6.82,broken clouds
27,Saint George,US,37.1041,-113.5841,66.94,42,1,1.99,clear sky
28,Bambous Virieux,MU,-20.3428,57.7575,75.22,83,40,11.5,scattered clouds
29,Ponta Delgada,PT,37.7333,-25.6667,61.52,77,20,5.75,few clouds
30,Quito,EC,-0.2299,-78.5249,50.41,90,99,0.6,light rain
31,Sarakhs,IR,36.5449,61.1577,46.54,53,0,0.0,clear sky
