City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2021-10-22 17:16:05,-46.6,168.3333,48.0,82,96,3.67
1,Saint-Paul,RE,2021-10-22 17:16:06,-21.0096,55.2707,77.11,94,11,1.01
2,Jequitinhonha,BR,2021-10-22 17:16:06,-16.4339,-41.0033,80.82,67,98,1.9
3,Punta Arenas,CL,2021-10-22 17:16:07,-53.15,-70.9167,50.11,53,75,47.18
4,Kirakira,SB,2021-10-22 17:16:07,-10.4544,161.9205,78.31,78,82,7.58
5,Atuona,PF,2021-10-22 17:16:08,-9.8,-139.0333,77.54,79,28,21.16
6,Kodiak,US,2021-10-22 17:16:08,57.79,-152.4072,42.31,61,90,17.27
7,Ternate,ID,2021-10-22 17:16:08,0.8,127.4,80.71,79,99,3.89
8,Busselton,AU,2021-10-22 17:16:09,-33.65,115.3333,49.08,73,7,7.78
9,Vestmannaeyjar,IS,2021-10-22 17:16:09,63.4427,-20.2734,43.79,93,90,29.93
10,New Norfolk,AU,2021-10-22 17:16:10,-42.7826,147.0587,57.76,82,100,0.76
11,Georgetown,MY,2021-10-22 17:15:10,5.4112,100.3354,80.89,89,40,2.3
12,Tomari,RU,2021-10-22 17:16:11,47.7658,142.0683,35.58,71,12,2.95
13,Tasiilaq,GL,2021-10-22 17:16:11,65.6145,-37.6368,35.76,81,100,13.73
14,Kununurra,AU,2021-10-22 17:16:12,-15.7667,128.7333,80.58,89,40,8.05
15,Bredasdorp,ZA,2021-10-22 17:16:12,-34.5322,20.0403,63.28,55,100,14.34
16,Ayagoz,KZ,2021-10-22 17:16:12,47.9714,80.4392,34.34,51,92,9.28
17,Qasigiannguit,GL,2021-10-22 17:16:13,68.8193,-51.1922,23.25,81,0,2.44
18,Dikson,RU,2021-10-22 17:16:13,73.5069,80.5464,17.62,81,100,14.0
19,Chokurdakh,RU,2021-10-22 17:16:14,70.6333,147.9167,-15.0,100,96,2.42
20,Sibu,MY,2021-10-22 17:16:14,2.3,111.8167,75.51,94,40,1.14
21,Rikitea,PF,2021-10-22 17:16:15,-23.1203,-134.9692,73.92,82,100,24.14
22,Paracuru,BR,2021-10-22 17:16:15,-3.41,-39.0306,87.82,55,69,14.74
23,Shaoyang,CN,2021-10-22 17:16:16,27.2315,111.4525,49.93,88,94,2.55
24,Vaini,TO,2021-10-22 17:16:16,-21.2,-175.2,69.96,88,40,11.5
25,Hobyo,SO,2021-10-22 17:16:17,5.3505,48.5268,80.19,78,45,14.25
26,Doka,SD,2021-10-22 17:16:17,13.5167,35.7667,83.19,37,97,5.08
27,Cabo San Lucas,MX,2021-10-22 17:11:20,22.8909,-109.9124,86.5,70,1,0.0
28,Maglaj,BA,2021-10-22 17:16:18,44.5492,18.0967,54.32,96,100,2.3
29,Padang,ID,2021-10-22 17:16:18,-0.9492,100.3543,77.95,88,100,4.32
30,Asau,RO,2021-10-22 17:16:19,46.4333,26.4,60.28,62,100,5.03
31,Guanica,PR,2021-10-22 17:16:19,17.9716,-66.908,90.91,63,43,11.01
32,Cap Malheureux,MU,2021-10-22 17:16:20,-19.9842,57.6142,75.69,79,91,1.99
33,Muisne,EC,2021-10-22 17:16:20,0.6,-80.0333,84.31,85,99,10.71
34,Tuktoyaktuk,CA,2021-10-22 17:16:21,69.4541,-133.0374,24.8,93,90,5.75
35,Carnarvon,AU,2021-10-22 17:16:21,-24.8667,113.6333,68.07,77,0,13.8
36,Hobart,AU,2021-10-22 17:16:22,-42.8794,147.3294,58.12,92,90,16.11
37,Portland,US,2021-10-22 17:16:22,45.5234,-122.6762,54.84,93,90,1.01
38,Mahebourg,MU,2021-10-22 17:16:23,-20.4081,57.7,75.49,78,75,8.05
39,Khuzdar,PK,2021-10-22 17:16:23,27.7384,66.6434,67.03,22,0,9.66
40,Saldanha,ZA,2021-10-22 17:16:24,-33.0117,17.9442,60.75,78,100,22.55
41,Leningradskiy,RU,2021-10-22 17:16:24,69.3833,178.4167,2.59,88,94,8.01
42,Harlingen,US,2021-10-22 17:15:41,26.1906,-97.6961,89.51,80,40,6.91
43,Hermanus,ZA,2021-10-22 17:16:25,-34.4187,19.2345,63.81,75,98,25.19
